bonus;lowBeta;highBeta;meditation;currentProgress;timestamp(s)
1;10770;16432;54;100;0
1;1756;2977;67;100;0
1;71132;40970;61;100;0
1;43989;18812;57;0;0,5493757
1;997;792;57;0;1,547896
1;1984;1230;50;0;2,514424
1;28814;8844;54;10;3,497392
1;8593;11929;66;20;4,513775
1;4321;16107;74;30;5,513048
1;7186;8827;84;40;6,495285
1;5182;6468;80;50;7,478452
1;8526;12282;80;50;8,494176
1;8085;10401;81;60;9,460449
1;13735;4543;67;70;10,45996
1;3191;3440;91;80;11,49248
1;22777;6895;84;90;12,45913
1;6512;11866;94;100;13,4256
1;4424;1171;97;100;14,45793
1;1404;616;64;100;16,45661
