attention meditation delta theta velocity
21 61 1685463 36808 0 
23 94 418602 344863 0 
17 91 665033 174394 10 
13 80 572091 156548 10 
23 77 255838 77500 10 
23 100 133001 14358 10 
35 100 1268405 47913 10 
17 47 303098 47652 10 
20 4 1661285 217264 10 
11 1 1141514 134888 10 
11 1 175991 72000 10 
27 7 11181 11574 10 
37 21 622901 71091 10 
35 26 478615 87222 10 
35 47 159189 14355 10 
23 43 385332 67156 10 
21 50 89070 15698 10 
20 27 378570 66669 10 
24 20 495203 133794 10 
13 17 575054 121863 10 
74 57 174733 42221 0 
75 69 78540 53767 0 
81 61 44214 13639 10 
78 70 24370 13889 10 
66 48 271685 117555 10 
67 53 125719 53695 10 
64 47 34321 24478 10 
70 40 8614 5176 10 
87 60 25571 6122 10 
77 61 372061 168897 10 
57 67 169417 13672 10 
48 74 104870 44674 10 
29 67 431638 159913 10 
40 66 314487 27480 10 
67 63 4452 7120 10 
54 38 183603 132766 0 
47 53 349064 180540 0 
48 51 1054348 857405 0 
43 54 776440 61498 10 
40 69 64643 206088 10 
40 91 350788 420989 10 
40 91 483518 25218 10 
23 66 2578605 1231726 10 
23 66 927078 380306 10 
23 66 271700 191122 10 
23 66 189074 17463 10 
23 66 254441 99888 10 
16 38 785568 212906 10 
11 66 384155 23123 0 
40 53 961096 20335 0 
43 57 994119 184437 0 
61 63 1652141 40934 10 
61 63 871678 175044 10 
61 63 88025 17875 10 
61 63 6155 16351 10 
61 63 13252 25572 10 
61 63 403373 42080 10 
61 63 560455 141044 10 
61 63 469216 110432 10 
61 63 1554582 1018755 10 
24 37 1038988 154356 0 
40 17 293053 96658 0 
26 27 1274975 441868 10 
17 35 1735168 208962 10 
1 35 566748 126598 10 
4 69 547295 29746 10 
21 84 971815 180742 10 
24 90 2024655 406539 10 
43 100 519198 10723 10 
47 80 1022562 48138 10 
29 64 76252 226980 10 
17 53 615149 306841 10 
11 30 527366 261237 10 
7 44 497190 201121 10 
11 48 1295885 552579 10 
14 47 1192077 302864 10 
30 43 1379202 264156 10 
27 38 562249 99946 10 
34 37 95868 95498 10 
38 43 875480 103804 10 
23 57 2757154 1110944 10 
24 56 1450691 62406 10 
51 47 1400679 725503 0 
54 51 2448197 446485 0 
53 48 231363 102446 10 
51 41 1936398 1345329 10 
30 43 144004 214166 10 
40 48 1140958 117022 10 
48 51 1458976 320315 10 
54 67 1747444 65408 10 
77 77 91112 9356 10 
56 88 515811 468268 10 
50 69 1136004 333579 10 
37 54 1556300 779044 10 
41 47 1462336 75910 10 
26 57 927969 69293 10 
38 64 900809 573523 10 
34 57 548113 150259 10 
38 67 524093 316321 10 
47 53 1226863 365855 10 
27 44 2681628 1221411 10 
34 56 2660957 168863 10 
27 43 151203 216919 10 
23 53 1002409 508418 10 
27 54 2063405 464180 10 
37 48 1513522 224822 10 
30 51 1577079 1026000 10 
41 44 1108472 229613 10 
41 56 161669 49099 10 
26 53 524250 790201 10 
21 40 1380805 217614 0 
34 51 474188 33626 10 
35 61 457318 91461 10 
38 64 539501 55949 10 
44 61 992252 156894 10 
16 54 965881 2521593 10 
29 37 243804 47369 10 
11 34 2208838 1221812 10 
4 24 1044409 197967 10 
26 34 1043706 283597 10 
47 41 788351 58164 0 
47 41 1633295 185760 0 
54 61 2602448 467403 10 
43 69 848623 133934 10 
41 54 221261 108317 10 
34 56 564109 85187 10 
29 66 1707237 114940 10 
24 41 1325973 448011 10 
34 38 502981 310879 10 
13 16 904426 919768 10 
14 24 1109647 52349 10 
23 30 714093 264610 10 
14 47 1315345 95470 10 
44 66 109592 108529 10 
44 43 936552 134651 10 
43 66 754606 222716 10 
56 50 1535644 699370 10 
47 56 2387223 90339 10 
51 63 970128 744164 10 
37 53 1104082 1032541 10 
29 64 619689 140639 10 
40 56 641437 156017 10 
54 69 1910197 235898 10 
54 67 631436 474853 10 
30 77 261019 147391 10 
17 56 437832 128641 10 
30 64 724362 33674 10 
38 60 1468795 250112 10 
40 53 1092470 131787 10 
38 57 2291239 316039 10 
34 50 734930 304969 10 
20 47 347662 493016 10 
35 41 1095565 1275331 10 
34 38 894831 373499 10 
27 61 921039 103906 10 
14 67 264944 34352 10 
26 74 743094 143813 10 
20 61 1389091 296756 10 
30 48 2118174 226996 10 
51 77 1083274 241821 10 
48 84 719885 130935 10 
48 70 1283537 449871 10 
53 56 707253 89081 10 
75 61 2933065 307103 10 
70 47 1224232 635888 10 
69 43 516068 543759 10 
66 47 1206042 116885 10 
60 51 1089399 352653 10 
66 61 668815 647324 10 
66 54 634554 64419 10 
67 60 2111232 236999 10 
60 29 294489 278194 10 
70 16 255324 552195 10 
64 40 148785 35392 10 
69 60 1171463 110505 10 
80 74 1320125 317771 10 
78 78 304740 31994 10 
93 81 969527 79789 10 
80 61 673884 76160 10 
69 54 1540275 150022 10 
30 26 600199 227614 10 
13 40 653024 429343 10 
1 56 1407042 153973 10 
14 48 612182 758994 10 
14 37 1329437 633351 10 
44 24 78712 49806 10 
41 23 847939 190034 10 
38 47 723343 278600 10 
48 64 631802 73700 10 
30 69 766739 325594 10 
29 40 628481 164302 10 
40 40 2027217 195381 10 
38 34 1188114 393371 10 
38 40 2250899 838382 10 
30 48 615224 551962 10 
20 44 1642988 217875 10 
24 56 1391289 99521 10 
37 67 2616284 145043 10 
53 83 654618 32591 10 
63 88 1217902 74593 10 
60 61 491422 256884 10 
51 56 1901316 210145 10 
37 48 1679170 365532 10 
30 37 70400 21162 10 
24 57 630831 153330 10 
10 30 535377 301212 10 
11 37 283022 46059 10 
1 51 200660 30141 10 
1 60 729115 19050 10 
7 87 991990 87105 10 
1 81 197685 19012 10 
4 50 793217 76179 10 
4 41 341631 51888 10 
7 40 2498100 331770 10 
37 40 880427 23008 10 
43 57 744917 188095 10 
40 48 1689731 85261 10 
38 43 753825 204057 10 
17 43 536087 42627 10 
21 53 918816 52687 10 
24 60 199158 25817 10 
53 67 77498 1920 10 
83 67 13796 6057 10 
87 63 267964 31158 10 
87 70 140851 31577 10 
53 77 2087574 159907 10 
26 88 1058472 9782 10 
34 96 75915 4468 10 
27 81 430251 211439 10 
50 83 16022 6753 10 
50 83 831286 52582 10 
53 81 815707 41648 10 
43 70 74017 79690 10 
50 90 290838 79092 10 
47 75 2126541 136202 10 
41 61 614589 253153 10 
0 0 1311686 1826048 0 
74 61 270756 84355 0 
67 48 150464 40528 10 
70 37 942643 149461 10 
56 66 317129 328561 10 
56 53 195656 57658 10 
67 69 905355 13743 10 
64 78 1221220 90687 10 
63 48 1007637 213666 10 
56 78 791778 97466 10 
48 78 1750328 242825 10 
23 64 1220001 527875 10 
17 88 1374463 174715 10 
14 70 1325915 193644 10 
16 70 1260732 91619 10 
38 88 808698 17254 10 
34 63 1159605 604364 10 
48 67 1082763 191340 10 
37 37 2136426 365070 10 
41 54 843592 150132 10 
34 67 718958 42402 10 
43 80 891581 593275 10 
26 64 437181 181495 10 
29 47 930244 154751 10 
21 29 307714 63487 10 
21 34 372074 15852 10 
20 38 93100 39608 10 
30 64 1108481 107608 10 
40 57 929471 54092 10 
50 50 981450 177270 10 
67 67 1454210 580613 10 
67 64 98482 24380 10 
43 56 120034 461404 10 
41 78 318837 42230 0 
34 83 2094435 537358 0 
30 67 1559303 339057 10 
27 64 1417619 120893 10 
29 78 985986 84020 10 
40 63 1193784 32715 10 
43 78 1936890 249328 10 
51 84 1327818 109266 10 
57 70 1431937 893456 10 
63 64 451512 380173 10 
63 34 1200325 239051 10 
60 41 669293 78610 10 
60 56 740705 361221 10 
57 50 724095 676960 10 
50 47 556013 540597 10 
56 34 1919808 361983 10 
57 17 835427 64842 10 
57 17 2350388 756207 10 
60 21 782268 85384 10 
54 17 487160 73432 10 
50 23 795814 82250 10 
53 40 923188 146640 10 
40 51 1441172 313186 10 
41 54 737862 565426 10 
50 67 67947 54445 10 
40 61 593793 85635 10 
44 53 862365 384575 10 
50 64 226839 14033 10 
30 60 242275 80974 10 
38 56 634899 167297 10 
48 63 1888750 236319 10 
63 47 2460942 352067 10 
57 51 559915 49103 10 
64 50 1570572 167316 10 
64 50 805184 75911 10 
64 48 1078514 160708 10 
74 57 1544022 556263 10 
70 60 235974 91850 10 
75 50 331725 76266 10 
75 51 1113944 122807 10 
80 54 336901 81624 10 
81 47 79159 36287 10 
81 47 1120146 15632 10 
69 40 379652 319733 10 
63 27 1012340 308437 10 
50 23 1087321 69192 10 
47 29 893115 597178 10 
40 50 2393981 156917 10 
40 29 174475 129201 0 
27 35 94995 79531 0 
40 50 112684 49838 10 
35 56 841704 165183 10 
50 60 190520 42471 10 
64 66 60855 53404 10 
60 60 44596 7395 10 
69 56 142933 38012 10 
70 63 234468 41039 0 
57 47 62727 88444 0 
54 54 34186 36212 10 
53 43 250271 82965 10 
64 30 156648 30470 10 
88 37 15416 77853 30 
88 50 350961 17992 30 
87 56 61850 64011 30 
100 54 71532 16445 30 
100 44 887677 211827 30 
100 44 2753515 142417 30 
84 44 91398 50103 30 
70 56 595168 43417 30 
53 50 2352670 156267 30 
47 48 941647 157812 30 
51 51 710122 845267 30 
60 48 2145096 191217 30 
67 54 1939246 283332 30 
64 50 413454 240213 30 
78 50 832551 42456 30 
74 51 763624 54971 30 
78 50 123739 12135 30 
78 50 1653245 574060 30 
91 61 937403 33672 30 
93 63 1677137 613019 30 
93 63 279697 62161 30 
93 63 943790 848083 30 
93 47 603805 64336 30 
93 47 1769488 734629 30 
93 47 480890 366981 30 
93 47 819337 138066 30 
78 51 1181077 1024929 30 
67 50 117949 154392 30 
60 60 120661 51163 30 
60 66 668376 167847 30 
69 60 335292 209477 30 
61 63 944923 820263 30 
63 63 707235 85042 30 
63 63 1219149 134009 30 
23 53 1765522 982039 0 
23 53 378279 59321 0 
44 56 636293 282939 10 
63 70 103071 115936 10 
69 67 1989283 1648519 30 
54 75 1365528 517344 30 
54 61 1432984 399459 10 
41 51 816762 339498 10 
41 44 2071199 124833 10 
29 57 1251685 84345 10 
41 81 1008573 328099 10 
38 74 778387 234260 10 
35 63 1474863 339332 10 
38 53 140755 44302 10 
44 43 698553 355975 10 
57 50 1675200 245399 10 
56 51 1017878 224000 10 
61 60 455955 350326 10 
50 54 343321 35224 30 
43 63 1653531 214830 10 
23 50 190114 573359 10 
41 43 841662 637774 10 
41 43 276812 46406 10 
48 37 96342 92907 10 
54 34 2616992 1264388 10 
74 51 199013 80247 10 
75 56 106017 36603 30 
69 53 48318 36795 30 
67 54 334703 40198 30 
51 35 295875 289889 30 
50 11 659623 325765 10 
41 26 1221970 242380 10 
38 27 1013230 24836 10 
48 48 1446827 107255 10 
43 70 1124374 167768 10 
48 74 128327 18350 10 
47 83 371365 95276 10 
35 83 564474 37822 10 
40 75 592993 31964 10 
37 70 1092071 176029 10 
29 64 535383 130992 10 
37 60 621472 793358 10 
37 53 877785 191196 10 
44 43 120235 26146 10 
44 29 1270949 239589 10 
37 35 183417 96710 10 
40 43 339129 572561 10 
23 44 229975 78996 10 
23 44 552271 152691 10 
41 37 153799 28552 10 
37 38 22444 37811 10 
27 38 268870 121869 10 
23 47 1079228 170917 10 
23 47 756905 33427 10 
63 35 1327283 302973 10 
83 56 1634459 94504 30 
84 66 1638340 286311 30 
61 77 1521890 135701 30 
56 66 1889058 213037 30 
44 53 338060 700555 10 
34 34 642933 273598 10 
20 16 396383 389417 10 
26 35 150893 81213 10 
27 38 41447 50735 10 
44 40 138927 4043 10 
66 51 232227 36833 10 
57 44 734411 117257 30 
56 30 247455 187756 10 
51 41 1033477 41770 10 
41 34 299073 92489 10 
48 37 58210 27863 10 
43 43 932309 182048 10 
43 51 730725 75966 10 
37 75 654477 124316 10 
40 77 1262056 155391 10 
47 70 986489 58393 0 
47 70 317651 133511 0 
51 63 1790957 2376967 8,695652 
37 47 1134753 1701391 8,695652 
34 35 587159 328688 8,695652 
27 26 637274 44140 8,695652 
27 44 2264585 144254 8,695652 
34 56 492680 129578 8,695652 
44 60 1511740 131788 8,695652 
43 60 1274866 180453 8,695652 
51 54 57228 60804 8,695652 
63 61 228000 28923 8,695652 
41 53 367634 229076 30,3 
37 56 888688 297560 8,695652 
30 47 1012418 139043 8,695652 
37 56 578832 23296 8,695652 
63 56 115427 35645 8,695652 
56 44 230771 166292 30,3 
80 51 19731 11028 8,695652 
88 43 10814 8629 8,695652 
84 51 3413 15234 34,5 
94 61 350596 28804 34,5 
75 75 311464 64946 34,5 
64 66 789846 166863 30,3 
57 66 479953 38877 30,3 
56 63 334233 86089 8,695652 
50 41 419451 239785 8,695652 
