reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
5;71320;10279;47;70;49,84089
5;12428;11263;27;68;50,87381
5;1376;4016;30;66;51,80608
5;6708;4795;29;64;52,82267
5;1519;2159;40;62;53,805
5;26248;11470;51;60;54,8214
5;6913;14077;63;70;55,80426
5;16859;10201;74;80;56,77036
5;4948;12086;90;90;57,8196
5;9010;4564;88;100;58,76997
5;6332;8563;87;100;59,78576
5;5739;5813;70;100;60,80127
5;17791;14879;56;100;61,78422
