attention meditation delta theta velocity
8 29 2279706 408225 0 
24 38 88962 9689 0 
34 51 608396 314266 0 
34 51 1002010 21159 0 
41 48 484523 236338 9,995003 
29 37 155426 369810 9,995003 
29 37 430097 33238 9,995003 
4 23 1144126 520190 9,995003 
4 23 316134 33147 9,995003 
1 50 1739284 162517 0 
1 53 979179 39607 0 
1 51 763624 368744 0 
4 48 219342 33260 0 
10 40 732560 77427 0 
4 24 290819 63866 0 
1 30 1560926 399683 0 
1 40 1122463 129144 0 
4 54 341292 67183 0 
16 67 3447274 370030 0 
24 67 477778 20742 0 
24 64 236431 51867 0 
29 56 945186 98832 0 
29 56 1363020 69427 0 
44 56 761497 21211 0 
48 63 550428 82334 0 
44 51 2585361 339445 0 
44 51 776277 60108 0 
38 50 274540 61589 0 
8 35 186922 132698 0 
1 20 1304996 453598 0 
1 29 979817 29625 0 
1 50 1212469 639930 0 
1 38 111463 181096 0 
4 40 93431 65298 0 
8 21 2146802 493394 0 
8 14 2648013 167694 0 
20 48 358730 171120 0 
14 43 131635 87276 0 
14 43 1428365 42924 0 
14 43 462004 96069 0 
14 43 256728 110934 0 
14 56 591037 132351 0 
14 56 693122 37859 0 
14 44 2064699 1447711 0 
14 29 939983 217859 0 
13 30 934980 120864 0 
10 29 289150 71695 0 
10 27 829196 1285363 0 
14 37 134228 17566 0 
21 35 1297455 284359 0 
21 17 625778 292005 0 
8 35 804623 308943 0 
8 35 842505 647030 0 
8 35 73 26 0 
7 17 627330 480235 0 
8 29 635527 59858 0 
8 29 670329 1712450 0 
24 24 1389850 330704 0 
24 24 1568155 59497 0 
40 7 168278 24549 0 
41 20 847282 84988 0 
38 8 1938606 178161 0 
13 10 178859 86966 0 
4 17 403393 122761 0 
1 7 1078387 165960 0 
1 7 615198 79656 0 
1 40 1970363 42314 0 
1 40 694736 196040 0 
1 40 3 1 0 
13 34 1619550 137274 0 
64 43 1661091 562801 0 
63 38 325666 149991 0 
63 38 1425542 437967 0 
63 38 1809378 106232 0 
63 38 929996 173774 0 
63 38 37015 21039 9,995003 
63 44 1666941 245159 10,16537 
30 38 879841 283287 10,32934 
38 38 1010481 168451 9,995003 
63 40 163135 40150 9,995003 
87 34 245846 45531 10,17147 
100 29 1162547 149754 11,01834 
100 34 702952 177829 11,96558 
100 30 1864119 456600 13,01376 
100 30 1654 1635 14,09727 
100 30 648811 7003 15,09645 
100 30 1122360 877935 10,16631 
100 30 412828 67996 11,85239 
91 38 80876 26867 12,74968 
63 27 1120363 559502 13,79052 
56 44 1876124 137171 14,00176 
23 54 660585 195656 12,99035 
20 57 319697 22440 12,01591 
20 57 1292391 329510 11,12014 
20 57 1075626 22810 10,3272 
30 69 1116852 110439 9,995003 
30 69 950500 188095 9,995003 
30 69 948654 520121 9,995003 
30 69 1219180 486558 9,995003 
30 69 38930 50771 9,995003 
26 61 302663 60885 9,995003 
26 61 7892 2421 9,995003 
26 61 456273 288793 9,995003 
26 61 288563 56110 9,995003 
26 61 539738 65336 9,995003 
26 61 1155524 211478 9,995003 
26 61 1 0 9,995003 
26 61 2364 284 9,995003 
26 61 792664 88639 9,995003 
26 61 1033336 468708 9,995003 
26 61 1717872 134613 9,995003 
26 61 1 1 9,995003 
43 53 153092 99607 9,995003 
50 50 1680991 158591 9,995003 
53 51 583876 53099 9,995003 
35 51 85136 105837 9,995003 
29 44 808108 107172 9,995003 
29 35 3629224 1464386 9,995003 
24 26 517891 39270 9,995003 
38 30 134149 33157 9,995003 
48 24 551575 237064 9,995003 
30 27 360904 792701 9,995003 
29 27 767208 199121 9,995003 
41 23 928640 114169 9,995003 
41 23 1917507 159188 9,995003 
47 41 175658 19168 9,995003 
51 54 880073 79107 9,995003 
44 54 2049110 472119 9,995003 
26 60 2051022 2214594 9,995003 
14 57 1187870 67891 9,995003 
13 51 2806115 187471 9,995003 
29 54 1557857 232286 9,995003 
26 50 1937977 899270 9,995003 
14 35 290933 898727 9,995003 
14 38 1045627 278007 9,995003 
1 40 67767 12916 9,995003 
7 41 730180 38518 9,995003 
14 43 224799 133035 9,995003 
11 38 154388 18103 9,995003 
17 30 62787 58710 9,995003 
17 35 2679603 278685 9,995003 
13 35 150029 94847 9,995003 
17 38 1760292 147947 9,995003 
26 38 688461 43801 9,995003 
34 37 558128 180355 9,995003 
43 50 104215 45929 9,995003 
54 44 647196 1122415 9,995003 
44 47 2130964 413113 9,995003 
24 43 221644 19545 9,995003 
20 21 1635262 495320 9,995003 
3 26 1294706 273050 9,995003 
7 34 914019 180888 9,995003 
4 34 1309194 511508 9,995003 
13 53 1538091 43017 9,995003 
8 50 2613848 761079 9,995003 
26 41 2904793 400841 9,995003 
44 48 934800 279137 9,995003 
38 48 1075416 470220 9,995003 
35 56 959096 50756 9,995003 
27 64 778587 34010 9,995003 
30 64 48553 21257 9,995003 
64 61 745788 337379 9,995003 
75 48 1005944 126086 10,07731 
90 40 1563814 198040 10,20612 
77 34 2045511 215195 11,00075 
64 38 1902491 232911 10,05616 
64 38 1094503 64173 10,2 
60 53 616867 59028 10,29222 
44 56 954647 173119 10,29222 
75 51 780582 113972 10,29222 
75 51 2063362 50194 10,29222 
74 47 1237728 862369 10,29222 
64 35 569199 59143 10,29222 
60 37 386305 1135307 10,29222 
34 34 836603 327061 10,29222 
27 37 811381 1107571 10,29222 
24 17 2245664 1483936 10,29222 
27 21 706720 261418 10,29222 
43 27 30418 24581 10,29222 
51 37 1288109 49006 10,29222 
54 56 858030 1115746 10,29222 
38 56 100628 81905 10,29222 
24 50 427083 102349 10,29222 
21 57 1398527 80708 10,29222 
8 50 1749924 1594838 10,29222 
38 53 1712953 189352 10,29222 
41 43 55724 40153 10,29222 
48 35 1390663 152460 10,29222 
75 37 1163733 156165 10,29222 
66 37 45260 8607 10,29222 
66 37 519206 32672 10,29222 
75 47 720605 192654 10,29222 
75 38 376979 51750 10,29222 
61 48 850565 161851 10,29222 
61 48 1046185 105169 10,29222 
61 48 416235 40060 10,29222 
67 41 1524000 190313 10,29222 
67 41 726571 144126 10,29222 
67 41 432259 27745 10,29222 
78 35 1095876 35287 10,29222 
80 47 156224 48685 10,29222 
80 47 1790128 120633 10,29222 
80 47 1683196 171060 10,29222 
80 47 626546 29793 10,29222 
80 47 388069 12451 10,29222 
94 40 254728 22287 10,29222 
91 47 394184 80895 10,29222 
81 51 657658 1966687 10,29222 
80 48 190304 291034 10,29222 
53 35 1746321 953672 10,29222 
40 20 764187 807596 10,29222 
29 13 744999 343466 10,29222 
23 11 1758599 291778 10,29222 
29 23 1504206 743794 10,29222 
43 30 157190 111831 10,29222 
41 26 676119 757106 10,29222 
41 26 2823536 95295 10,29222 
40 34 1406550 88049 10,29222 
40 34 1514638 544005 10,29222 
40 34 361933 19124 10,29222 
54 41 587002 67768 10,29222 
74 47 1886198 11244 10,29222 
84 56 2218531 45754 10,29222 
94 50 565725 22033 10,29222 
91 47 559735 61430 10,29222 
74 30 115894 42119 10,29222 
74 30 1130669 70437 10,29222 
70 29 235376 132033 10,29222 
87 34 833074 127815 10,29222 
87 34 439062 25607 10,29222 
87 27 842126 170393 10,29222 
87 27 842126 170393 10,29222 
83 30 2446014 347848 10,29222 
83 30 2446014 347848 10,29222 
87 30 517000 3575 10,29222 
87 30 517000 3575 10,29222 
87 37 1130460 89188 10,29222 
87 37 1130460 89188 10,29222 
87 37 2996672 807350 10,29222 
87 37 2996672 807350 10,29222 
87 37 590164 21235 10,29222 
87 37 590164 21235 10,29222 
87 37 892251 33481 10,29222 
81 40 1480526 198223 10,29222 
69 37 600568 203526 10,29222 
60 38 148011 26046 10,29222 
60 38 792713 229282 10,29222 
60 38 197432 54222 10,29222 
57 44 247987 189969 10,29222 
57 44 482247 52735 10,29222 
57 44 2261365 781354 10,29222 
64 43 1261611 196847 10,29222 
87 50 1134235 99406 10,29222 
91 56 259976 15130 10,29222 
97 48 1531347 1253104 10,29222 
100 53 849703 432066 10,29222 
100 53 165437 8119 10,29222 
