attention meditation delta theta velocity
0 0 54090 11458 0 
0 0 629480 259449 0 
51 54 878035 44364 0 
70 57 543538 21115 0 
90 81 65122 10134 0 
91 67 403812 179487 9,995003 
70 44 144722 41790 10,58107 
88 50 102282 141250 10,62774 
84 24 1123219 60045 11,63407 
83 56 1113728 94667 12,46488 
61 53 166699 67419 13,41524 
84 74 108543 71731 13,60304 
51 94 384457 60848 14,45837 
38 78 833986 104849 13,75345 
47 60 181994 39659 13,05024 
64 20 663406 243737 9,995003 
100 41 448534 78586 10,21122 
100 43 350832 26018 10,76145 
100 54 826995 74036 11,34133 
100 57 175495 12058 11,95246 
93 81 573865 61794 12,60281 
84 78 449265 31707 13,28191 
94 93 169173 13792 14,06071 
100 88 3398 1907 14,88518 
97 83 199824 36306 15,67158 
64 83 240935 93076 16,58221 
64 77 4463 2162 16,7623 
63 80 5165 2492 16,9545 
70 63 1177763 175982 17,14891 
84 70 156533 25987 17,33514 
70 54 153423 85775 18,34244 
51 48 126463 107342 18,55276 
43 80 2574 4947 17,60417 
48 70 272882 70065 16,79617 
41 74 567428 174757 16,01724 
41 61 5281 10278 14,49346 
30 63 1266198 288463 13,73181 
35 61 1651892 162909 13,07538 
40 63 2025599 130295 12,40064 
30 66 91449 28856 0 
47 63 162817 29023 9,995003 
26 67 1337691 133631 9,995003 
21 56 910322 55518 9,995003 
1 34 416688 149076 9,995003 
21 50 9748 2324 9,995003 
43 67 4577 2767 9,995003 
38 66 353514 189760 9,995003 
60 80 5230 2905 9,995003 
64 64 565716 12995 9,995003 
44 48 473351 158587 10,10759 
69 70 3665 4200 9,995003 
81 54 4865 8498 10,10557 
84 47 5062 13742 0 
100 56 2478 8621 0 
97 47 157378 151427 0 
78 54 459403 14410 0 
61 54 78305 137428 0 
37 44 403236 198664 0 
24 57 190042 41968 0 
21 53 222151 93690 0 
40 66 6926 3723 0 
40 66 6926 3723 0 
54 50 145451 133441 0 
54 50 145451 133441 0 
57 66 932811 60031 0 
57 66 932811 60031 0 
75 81 7470 6487 9,995003 
60 80 445456 15154 10,09849 
54 84 267291 38093 9,995003 
17 60 137515 25856 0 
24 43 563278 31853 0 
20 26 1242386 262035 0 
1 29 568309 32161 0 
17 44 600704 90930 0 
16 44 130601 147307 9,995003 
14 40 641860 57385 9,995003 
7 56 363095 78503 9,995003 
8 51 569700 314494 9,995003 
16 67 63618 47451 9,995003 
23 63 37248 49892 9,995003 
37 69 98098 35176 9,995003 
34 78 347973 32170 9,995003 
34 57 550041 44101 9,995003 
40 51 87098 31143 9,995003 
27 50 254841 119530 9,995003 
27 30 928243 36531 9,995003 
24 40 391612 14533 9,995003 
34 34 204498 41955 9,995003 
34 64 121180 21515 9,995003 
37 61 121545 30676 9,995003 
34 66 324659 15118 9,995003 
26 66 824084 329011 9,995003 
30 61 542022 249748 9,995003 
11 56 296342 38652 9,995003 
1 53 71333 110277 9,995003 
4 44 804599 170772 9,995003 
4 44 894124 411707 9,995003 
1 41 2864517 412736 9,995003 
1 43 170131 215939 0 
1 34 79868 92492 9,995003 
3 29 289588 71469 9,995003 
8 44 251805 61443 9,995003 
11 50 3269879 145326 9,995003 
26 51 428607 22961 9,995003 
30 54 219335 112572 9,995003 
41 51 273419 17238 9,995003 
47 60 272717 121099 9,995003 
35 64 91363 96510 9,995003 
21 63 69905 177775 9,995003 
13 50 345252 71887 9,995003 
4 34 967560 703014 9,995003 
13 41 1043451 33589 9,995003 
16 56 339150 204475 9,995003 
24 38 36943 46245 9,995003 
41 53 119091 17907 9,995003 
43 44 222055 6845 9,995003 
41 47 910123 71273 9,995003 
38 80 1012752 56946 9,995003 
35 70 438310 31647 9,995003 
24 75 1953231 246518 9,995003 
30 67 453433 129727 9,995003 
37 61 253359 14382 9,995003 
23 57 480846 68605 9,995003 
17 48 2360922 464698 0 
1 21 332957 50275 9,995003 
14 30 378564 29211 9,995003 
8 14 1734894 269547 9,995003 
23 37 214799 17042 9,995003 
27 50 1065969 717670 9,995003 
21 34 1117965 419918 9,995003 
17 56 88166 25388 9,995003 
11 48 162516 7030 9,995003 
16 70 98634 9019 9,995003 
14 80 350415 43184 9,995003 
23 63 561702 122848 9,995003 
14 54 89146 106000 9,995003 
10 40 62490 29521 9,995003 
8 38 193206 20681 0 
1 43 321572 71472 0 
3 47 1550861 273373 0 
8 56 60379 7155 0 
10 69 28746 56039 0 
20 81 746205 8559 0 
17 83 495777 180738 0 
13 83 220531 20998 0 
14 69 194510 57478 0 
16 70 507576 61284 0 
