run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
1;34759;2970;30;2,95;3;0,02
1;63870;16050;37;2,95;3;0,5402383
1;44684;9502;40;2,95;3;1,456646
1;26884;23170;64;2,95;3;3,488685
1;74501;29295;78;2,95;3;4,504755
1;22342;15859;75;2,95;3;5,487799
1;7196;6549;87;2,95;3;6,503717
1;35734;16549;84;8,950018;3;8,486791
1;3310;4982;94;11,85003;3;9,452214
1;43391;61938;80;14,95004;3;10,48492
1;51211;72531;80;12,10003;3;11,43433
1;7152;8019;80;9,050018;3;12,45068
1;116;102;80;6,100007;3;13,43422
1;76712;22287;80;3,05;3;14,44934
1;23449;7870;80;2,95;3;15,41553
1;204414;220979;84;2,95;3;16,44939
1;21016;5439;84;5,950006;3;17,43199
1;8981;12087;84;8,900018;3;18,41384
1;48843;59183;84;11,85003;3;19,39763
1;23961;22725;84;14,80004;3;20,3799
1;8204;12509;84;17,85002;3;21,39573
1;0;0;84;20,05;3;22,36172
1;0;0;84;20,05;3;23,34459
1;15124;8669;81;20,05;3;24,36078
1;28796;18599;83;20,05;3;25,36004
1;35857;34471;69;20,05;3;26,37629
1;55006;10612;63;17,05005;3;27,35897
1;135081;84327;66;14,15005;3;28,32509
1;32622;17145;75;11,20004;3;29,30794
1;3157;4754;83;8,150031;3;30,32406
1;116664;82245;83;11,05004;3;31,29012
1;7006;4667;83;14,20005;3;32,33957
1;33164;16413;83;17,05005;3;33,28915
1;5451;58989;83;20,05;3;34,30603
1;22625;44164;83;20,05;3;35,30556
1;35814;92015;83;20,05;3;36,27077
1;67125;37255;83;20,05;3;37,32019
1;1;0;83;20,05;3;38,27057
1;0;1;83;20,05;3;39,31923
1;13420;3532;83;20,05;3;40,26847
1;28106;9309;74;20,05;3;41,30146
2;14534;14877;48;2,95;3;0,02
2;46545;23423;51;2,95;3;0,596975
2;13392;99336;60;4,199999;3;1,597341
2;14571;7156;56;2,95;3;2,579267
2;33219;13897;56;4,199999;3;3,578807
2;4191;8273;35;6,599997;3;5,577514
2;61962;5753;27;3,599987;3;6,577089
2;56136;35459;27;2,95;3;7,543121
2;119890;36601;27;2,95;3;8,526132
2;18238;4841;27;2,95;3;9,558672
2;10083;1202;16;2,95;3;10,52482
2;16450;13014;14;2,95;3;11,50767
2;20157;5535;7;2,95;3;12,5404
2;72903;17473;1;2,95;3;13,49017
2;25538;6254;13;2,95;3;14,52272
2;3047;2429;13;2,95;3;15,489
2;3082;2000;23;2,95;3;16,47161
2;1978;3197;37;2,95;3;17,50529
2;7509;20288;38;2,95;3;18,48715
2;272315;106644;51;2,95;3;19,45327
2;4183;6358;48;5,459998;3;21,50206
2;2410;1259;47;6,579997;3;22,43538
2;17710;5623;21;7,819995;3;23,46778
2;14781;6674;21;4,819984;3;24,4673
2;40800;26434;27;0;2;25,41759
2;2719;3844;30;2,95;2;27,3991
2;16540;3474;40;2,95;2;28,39839
2;23598;11999;40;2,95;2;29,39893
2;16574;18815;60;2,95;2;30,43105
2;16363;17532;74;2,95;2;31,41365
2;8593;3352;74;2,95;2;32,43113
2;30741;44549;64;2,95;2;34,39546
2;28074;12697;60;2,95;2;35,36148
2;1395;1241;60;2,95;2;36,3612
2;46797;27917;70;2,95;2;37,36111
2;36533;24273;77;2,95;2;38,37616
2;7300;11471;81;2,95;2;39,34246
2;18551;40767;87;6,050007;2;40,35925
2;91702;17666;69;8,950018;2;41,32479
2;11673;3458;48;5,950006;2;42,32418
2;7854;22625;40;8,390014;2;44,35636
2;3437;3558;43;5,540003;2;45,30615
2;31341;15805;54;6,780002;2;46,33888
2;9388;10739;44;9,180028;2;48,33754
2;25658;18821;53;10,32005;2;49,28806
2;17300;36275;64;11,50008;2;50,26989
2;20800;13153;63;8,450069;2;51,28593
2;17174;4635;69;5,400058;2;52,30203
2;13882;27595;57;2,95;2;53,28497
3;1203;584;63;2,95;3;0,02
3;4215;2915;63;2,95;3;0,3289702
3;15352;13007;57;2,95;3;1,329357
3;53735;30575;54;4,199999;3;2,328103
3;6597;18102;67;5,399998;3;3,32749
3;1710;1771;61;2,95;3;4,327832
3;21848;60877;67;2,95;3;5,327218
3;55670;14822;74;2,95;3;6,293378
3;33323;4392;53;2,95;3;7,291911
3;36893;26260;54;4,199999;3;8,292173
3;171863;81988;50;5,399998;3;9,290877
3;2344;2086;41;6,639997;3;10,32378
3;292700;60260;53;7,839995;3;11,32311
3;23290;13462;51;9,020019;3;12,30579
3;15105;8925;53;10,22005;3;13,3053
3;57536;42532;61;11,34007;3;14,23827
3;53792;34283;67;8,29006;3;15,25413
3;11690;11802;67;5,240048;3;16,2705
3;123709;67117;70;0;2;17,23643
3;28230;32636;74;2,95;2;18,25255
3;68655;72747;60;2,95;2;19,25209
3;25692;25381;57;2,95;2;20,20156
3;124819;48882;53;4,219999;2;21,21764
3;12832;8869;47;5,439998;2;22,23381
3;43251;25686;50;6,639997;2;23,23326
3;2577;4247;63;9,000018;2;25,19872
3;1915;1113;60;6,000007;2;26,1982
3;2746;1253;60;2,95;2;27,21483
3;9393;4345;47;2,95;2;29,17985
3;8546;7646;61;4,199999;2;30,18022
3;13017;13619;56;2,95;2;31,17876
3;3690;5604;61;4,219999;2;32,19487
