attention meditation delta theta velocity
4 53 456832 77144 0 
70 44 51314 7696 0 
77 43 698223 39425 9,995003 
35 30 147649 59090 10,05415 
8 44 446121 103275 9,995003 
13 44 261889 669396 9,995003 
1 38 1265370 195919 9,995003 
1 51 332683 713192 9,995003 
10 48 270230 61717 9,995003 
4 64 858371 275178 9,995003 
14 57 201210 87456 9,995003 
23 50 433566 112366 9,995003 
54 40 256050 32059 9,995003 
69 44 217957 123648 9,995003 
81 47 647138 137209 10,1177 
61 30 173219 407729 10,72704 
57 14 1014599 88664 10,7862 
54 17 697686 22558 10,45184 
60 23 217836 81487 10,1735 
83 51 35526 52123 9,995003 
91 84 88912 42509 10,31475 
94 87 244515 23189 10,59695 
87 94 48572 44791 10,89231 
57 81 1015179 159102 11,42201 
37 70 13215 169228 9,995003 
47 57 1405603 981357 0 
66 57 241346 151270 0 
63 67 803948 665165 0 
77 54 920373 478288 0 
88 54 905837 19731 0 
74 41 181158 94504 0 
37 56 461221 305435 0 
