run;lowBeta;highBeta;attention;velocity;currentLife;timestamp(s)
4;9042;5650;21;2,95;3;10,91614
4;15738;27060;35;2,95;3;11,89901
4;59616;53183;37;2,95;3;12,89843
4;41955;10391;40;2,95;3;13,91452
4;40259;39715;40;2,95;3;14,88084
4;3148;3352;24;2,95;3;15,89681
4;2911;2846;16;2,95;3;16,89622
4;72894;35640;4;2,95;3;17,87901
4;3858;4199;8;2,95;3;19,86129
4;7081;7708;3;2,95;3;20,84411
4;10923;6362;13;2,95;3;21,84353
4;22736;11287;35;2,95;3;22,82636
4;19000;4215;23;2,95;3;23,85909
4;11423;8340;27;2,95;3;24,84194
4;52912;27001;21;2,95;3;26,84095
4;18289;13089;23;2,95;3;28,80634
4;4603;4395;14;2,95;3;29,77255
4;1583;718;1;2,95;3;30,80531
4;7400;13459;14;2,95;3;31,80486
4;11110;9408;14;2,95;3;32,77081
4;10619;8705;34;2,95;3;33,77037
4;4192;5418;44;2,95;3;34,80313
4;32755;7989;41;2,95;3;35,75257
4;144986;37358;48;2,95;3;36,7686
4;32115;17408;34;2,95;3;37,75161
4;3731;5089;35;2,95;3;38,76772
4;40297;32455;24;2,95;3;39,73372
4;1328;1945;23;2,95;3;40,73437
4;27832;23495;27;2,95;3;41,71602
4;19093;17279;21;2,95;3;42,7155
4;14027;7525;23;2,95;3;43,74823
4;24426;10176;27;2,95;3;44,69785
4;20724;9777;17;2,95;3;46,66331
5;5915;4791;26;2,95;3;0,02
5;6471;15431;24;2,95;3;0,1224548
5;6587;24511;43;2,95;3;1,121887
5;15249;36324;47;2,95;3;2,137952
5;9201;8323;66;2,95;3;3,120696
5;2323;4302;56;4,179999;3;4,103557
5;25777;20876;53;2,95;3;5,119595
5;26927;21857;34;2,95;3;6,085699
5;2108;13697;40;2,95;3;7,10203
5;21450;17282;47;2,95;3;8,101614
5;42590;23696;40;2,95;3;9,117449
5;11302;24420;63;2,95;3;10,08353
5;5481;5145;50;4,199999;3;11,08498
5;16089;14497;57;2,95;3;12,09907
5;6803;12708;74;2,95;3;13,06528
5;7130;19112;78;4,159999;3;14,03141
5;33099;16214;75;5,379998;3;15,04755
5;2150;26925;90;6,559997;3;16,03032
5;5222;14894;97;9,560008;3;17,0298
5;11286;15103;93;12,61002;3;18,04592
5;6917;28354;100;15,56003;3;19,0286
5;9513;9875;96;18,50999;3;20,01154
5;15823;26120;87;20,05;3;21,02765
5;9835;11451;75;20,05;3;22,02701
5;13936;6203;63;20,02;3;23,00983
5;4578;5723;66;20,02;3;23,99262
5;9440;26558;69;20,02;3;25,00875
5;30277;11653;57;20,02;3;25,95819
5;15702;25794;57;16,85005;3;27,00764
5;5010;12549;57;13,90005;3;27,99034
5;1170;3577;60;11,00004;3;28,9566
5;4189;4247;67;8,050031;3;29,93951
5;21713;20052;69;9,230058;3;30,93887
5;5777;8683;56;10,43009;3;31,93823
5;9040;19848;53;7,430074;3;32,93771
5;31862;20059;37;2,95;3;34,93665
5;181331;35488;26;2,95;3;35,95277
5;35922;53064;24;2,95;3;36,88564
5;14734;19953;38;2,95;3;38,90114
5;16645;5958;38;2,95;3;39,88399
5;29392;19725;23;2,95;3;40,90011
5;5314;10630;37;2,95;3;42,88236
5;9348;6625;51;2,95;3;43,88171
5;6412;11370;70;2,95;3;44,88121
5;8155;20853;78;4,239999;3;45,9141
5;14122;12656;67;6,559997;3;47,84631
5;22448;18493;54;7,759995;3;48,84568
5;15122;14884;60;4,709984;3;49,86188
5;18668;23648;69;2,95;3;50,86138
5;25916;11183;41;0;2;51,82753
5;13307;17194;44;2,95;2;52,84356
5;9126;11491;50;2,95;2;53,79302
5;15735;21638;54;2,95;2;54,8092
5;12677;13872;75;2,95;2;56,79142
5;12858;15364;74;4,239999;2;57,82421
5;4747;24075;84;5,399998;2;58,79037
5;3603;8152;100;11,30002;2;60,75608
5;3558;18600;100;14,50003;2;61,82183
5;2207;4268;91;17,30002;2;62,75581
5;7515;24571;84;0;1;63,77093
5;6415;6250;60;7,200011;1;65,73668
5;6772;6785;60;4,049999;1;66,78593
5;10367;24172;60;2,95;1;67,75208
5;12057;3961;44;2,95;1;68,75193
5;14474;25843;63;2,95;1;69,73428
5;6495;13637;66;4,179999;1;70,71704
5;24049;18445;54;5,359998;1;71,69988
5;4601;1757;54;2,95;1;72,68267
5;3414;22247;53;2,95;1;73,71564
5;6568;9353;54;2,95;1;74,66513
5;3245;16993;67;2,95;1;75,71442
5;11918;6958;91;4,139999;1;76,66385
5;13409;12330;64;10,14002;1;78,66286
5;21157;47035;63;11,36005;1;79,67903
5;7733;19511;64;0,02;0;80,66167
5;34509;17354;63;0,02;0;81,6945
6;18491;11726;48;2,95;3;0,02
6;18994;9514;43;2,95;3;0,5083057
6;21399;33851;44;2,95;3;1,50759
6;6100;5408;48;2,95;3;2,473826
6;4794;10741;57;2,95;3;3,47323
6;4572;50021;77;2,95;3;4,456131
6;43610;59028;75;4,239999;3;5,488778
6;2955;1944;63;5,359998;3;6,421532
6;32036;21325;57;7,799995;3;8,453779
6;13446;53988;67;4,899984;3;9,419851
6;22592;23372;75;6,119983;3;10,43603
6;18330;55995;74;7,299982;3;11,41888
6;5320;12231;75;8,519993;3;12,43505
6;2064;20478;78;9,72002;3;13,43451
6;10952;4624;77;10,94005;3;14,45057
6;10054;9811;53;12,08007;3;15,40014
6;3958;16714;53;9,180063;3;16,41622
6;13594;21718;40;6,180052;3;17,41571
6;2121;14240;54;3,180044;3;18,41503
6;1569;1156;54;2,95;3;19,39779
6;5768;8596;56;2,95;3;20,36403
6;9497;14792;63;2,95;3;21,36343
6;8215;2476;41;4,199999;3;22,3628
6;2158;4182;56;2,95;3;23,37909
6;15719;8125;51;2,95;3;24,36185
6;6284;10210;50;2,95;3;25,3447
6;1244;2757;66;2,95;3;26,32727
6;37238;7369;43;4,179999;3;27,31027
6;22058;19042;37;2,95;3;28,34291
6;10459;7283;38;2,95;3;29,32572
6;26200;18405;23;0;2;30,3252
6;5765;7788;43;2,95;2;31,29138
6;2175;2580;38;2,95;2;32,29084
6;1232;1243;24;2,95;2;33,30695
6;4397;14600;50;2,95;2;34,28975
6;6368;18196;57;2,95;2;35,3225
6;11790;13789;75;2,95;2;36,25533
6;16453;19426;87;4,219999;2;37,27138
6;6136;9294;75;7,22001;2;38,27092
6;24560;35505;60;8,380018;2;39,23703
6;3401;2048;47;5,430007;2;40,21986
