reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
4;28904;30837;53;30;68,58857
4;45628;70690;51;28;69,57144
4;13302;20480;47;26;70,62115
4;1594;2056;37;24;71,57073
4;65374;49409;34;22;72,57073
4;134283;89550;34;22;73,55293
4;72171;40933;35;20;74,53648
4;16452;86534;41;18;75,5685
4;3602;1944;47;16;76,53439
4;8621;11272;54;14;77,56702
4;18128;23591;53;12;78,56626
4;107478;161844;53;12;79,53239
4;72781;61024;53;12;80,54903
4;54300;174424;61;22;81,51546
4;260993;623828;61;22;82,51434
4;276474;534927;67;32;84,51466
4;43163;42875;61;42;85,51373
4;276502;204402;66;52;86,50325
4;18411;38440;51;50;87,49517
4;14493;113585;51;50;88,49478
4;43899;99697;61;60;89,49426
4;123274;381500;75;70;90,44426
4;19422;56871;78;80;91,47604
4;17191;26147;67;90;93,49235
4;66801;177437;69;100;94,47462
4;26167;79813;66;100;95,44028
4;6089;9865;64;100;97,43455
