run;delta;theta;lowAlpha;HighAlpha;lowBeta;highBeta;lowGamma;highGamma;attention;velocity;currentLife;timestamp(s)
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,02
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,1467204
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,1865687
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,2031035
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,2210354
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,237445
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,2567936
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,2690879
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3032191
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3143784
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3293244
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,344866
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3528708
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3706684
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,3861362
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,4021532
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,4192472
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,4358813
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,4526882
1;0,2472325;0;0,13184;0,004170213;0,1743947;0,1209474;0,01258621;0,05236735;40;2,95;3;0,4692072
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;2,95;3;0,4860877
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,02;3;0,5025901
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,04;3;0,519148
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,06;3;0,5359348
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,08;3;0,5529483
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,1;3;0,5702377
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,12;3;0,5894788
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,14;3;0,6031317
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,16;3;0,6192386
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,18;3;0,6360594
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,2;3;0,6524379
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,22;3;0,6690132
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,24;3;0,6859948
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,26;3;0,7026875
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,28;3;0,7190676
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,3;3;0,7359096
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,32;3;0,7525433
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,34;3;0,7692868
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,36;3;0,7856777
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,38;3;0,8023416
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,4;3;0,8202064
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,42;3;0,8358068
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,44;3;0,8522121
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,46;3;0,8689283
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,48;3;0,8857474
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,5;3;0,9023784
1;0,9016625;0,1996783;0,2255867;0,6688511;0,7774473;0,7623421;0,09358621;0,1408571;51;3,52;3;0,918847
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,539999;3;0,9358673
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,559999;3;0,9523514
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,579999;3;0,9689089
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,599999;3;0,9861337
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,619999;3;1,002583
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,639999;3;1,018796
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,659999;3;1,03571
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,679999;3;1,053013
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,699999;3;1,068816
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,719999;3;1,085666
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,739999;3;1,102179
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,759999;3;1,118891
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,779999;3;1,135866
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,799999;3;1,152337
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,819999;3;1,169424
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,839999;3;1,18555
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,859999;3;1,202261
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,879999;3;1,218826
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,899999;3;1,235533
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,919999;3;1,252307
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,939999;3;1,268624
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,959999;3;1,286492
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,979999;3;1,301965
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;3,999999;3;1,318906
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,019999;3;1,335493
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,039999;3;1,352167
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,059999;3;1,368693
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,079999;3;1,385416
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,099999;3;1,402222
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,119999;3;1,4191
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,139999;3;1,435533
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,159999;3;1,452121
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,179999;3;1,468674
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,199999;3;1,485467
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,219999;3;1,502115
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,239999;3;1,518891
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,259999;3;1,538101
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,279999;3;1,552144
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,299999;3;1,568653
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,319999;3;1,585474
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,339999;3;1,601879
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,359999;3;1,619004
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,379999;3;1,635355
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,399999;3;1,651984
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,419999;3;1,669102
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,439999;3;1,685416
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,459999;3;1,7023
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,479999;3;1,718528
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,499999;3;1,735117
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,519999;3;1,75202
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,539999;3;1,769351
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,559999;3;1,7854
1;1;0,6271718;0,5918933;1;1;0,9372368;0,5036552;0,3672245;54;4,579998;3;1,802189
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,599998;3;1,819973
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,619998;3;1,835389
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,639998;3;1,852556
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,659998;3;1,868744
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,679998;3;1,886204
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,699998;3;1,901439
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,719998;3;1,917884
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,739998;3;1,934627
1;0,06352437;0,1934217;0;0,3813191;0,6138158;0,4737105;0,2354483;0,5110613;54;4,759998;3;1,951159
