attention meditation delta theta velocity
53 40 1860290 248972 0 
53 50 583190 80757 0 
51 41 726273 199342 0 
40 47 957628 58827 0 
38 34 1137016 163256 0 
43 41 1497615 158706 0 
40 48 103490 19410 0 
50 48 761003 36037 0 
50 57 504369 56950 0 
47 61 895380 65025 0 
50 50 210567 35806 0 
43 54 688534 33758 0 
48 21 1440714 138151 0 
50 35 1727624 294283 0 
48 35 179254 55559 0 
54 60 13628 18203 0 
61 77 9573 6205 0 
78 70 28355 7431 0 
77 66 417500 61241 0 
50 56 578454 147528 0 
44 57 202372 18668 0 
44 69 92038 19275 0 
56 70 184901 34201 0 
47 63 1590865 496840 0 
44 64 915470 442943 0 
44 57 150322 28589 0 
44 60 732235 27245 0 
53 64 417324 36248 0 
48 66 355604 242274 0 
37 53 1044907 277289 0 
41 30 414880 138751 0 
44 43 256372 33657 0 
38 37 205081 439872 0 
47 43 157489 50940 0 
50 63 285057 37801 0 
53 61 228660 41811 0 
63 64 108032 53993 0 
61 56 1142439 163075 0 
63 47 350404 10755 0 
63 56 54869 5349 0 
60 47 262803 79937 0 
53 54 405993 283433 0 
40 56 204193 121339 0 
30 48 3481257 195413 0 
23 57 980603 264108 0 
29 60 101295 14666 0 
47 57 100985 28386 0 
51 56 965368 75913 0 
70 57 413997 16953 0 
64 47 165671 178444 0 
69 40 93874 38098 0 
77 41 277711 25926 0 
64 35 332945 198101 0 
83 40 68036 21520 0 
70 64 86456 29763 0 
81 80 112136 18992 0 
69 84 127204 62870 0 
75 64 526074 45898 0 
60 53 128561 89984 0 
53 30 141063 44968 0 
47 29 333324 66452 0 
30 21 1159402 1497958 0 
44 29 632890 80034 0 
43 40 583929 102476 0 
54 40 266143 14337 0 
63 63 391362 6677 0 
67 63 166598 47086 0 
74 64 195285 37257 0 
74 60 341129 104957 0 
66 56 329637 62689 0 
63 61 140747 60725 0 
50 61 345729 137110 0 
56 53 274647 24692 0 
57 61 96584 24368 0 
60 53 1093816 87342 0 
66 53 169326 25366 0 
64 63 355164 42279 0 
61 48 522648 207637 0 
66 54 197299 13154 0 
57 53 103791 84503 0 
56 54 2464862 429577 0 
48 66 198983 18357 0 
54 77 220307 80642 0 
54 74 306865 79918 0 
50 67 322958 104353 0 
61 34 630516 152311 0 
60 20 519155 66679 0 
50 17 216991 145552 0 
50 47 205530 12448 0 
41 67 838567 134129 0 
44 74 228820 20032 0 
61 69 1108918 23531 0 
69 50 188949 51623 0 
69 51 360501 64240 0 
64 50 1069929 185147 0 
47 47 663544 77193 0 
35 40 28254 93721 0 
23 34 1007125 421361 0 
24 37 358907 88111 0 
21 24 1845786 457272 0 
41 30 112522 37335 0 
56 29 205556 50569 0 
47 29 531188 40134 0 
56 40 332418 40949 0 
51 38 80807 39626 0 
54 40 332788 69152 0 
78 40 45332 13180 0 
80 47 220447 16008 0 
74 47 121963 18030 0 
77 44 50273 16324 0 
61 40 230115 71004 0 
57 40 564022 122246 0 
51 38 287601 28537 0 
29 27 884796 628013 0 
34 37 618517 103559 0 
27 27 363697 29890 0 
43 26 191000 44864 0 
48 38 240743 77269 0 
48 30 326656 397240 0 
35 37 211199 46500 0 
43 37 260342 25793 0 
44 37 448431 53607 0 
51 61 93000 3873 0 
61 60 141745 41294 0 
54 63 288456 36752 0 
50 48 1155022 89512 0 
53 43 849879 41989 0 
61 40 452320 196477 0 
56 27 98555 20443 0 
53 23 108425 32229 0 
54 27 124599 58544 0 
56 50 355303 7826 0 
54 47 363314 188792 0 
51 27 1256773 385777 0 
41 53 1514741 195051 0 
37 48 2449196 542997 0 
44 43 347435 21868 0 
38 30 743587 78647 0 
43 43 966572 59002 0 
48 43 1681826 117713 0 
48 34 772408 73560 0 
50 47 221696 43229 0 
48 40 989667 514968 0 
43 47 1669682 30527 0 
54 43 73906 54744 0 
54 44 612919 114522 0 
50 35 1237833 175884 0 
54 40 1574832 34194 0 
51 48 548588 30007 0 
66 60 611912 60385 0 
56 50 1559934 806408 0 
51 38 189914 214230 0 
53 38 1667524 507004 0 
48 40 1144917 253246 0 
41 37 204251 150953 0 
37 44 408234 12975 0 
35 37 1110491 122565 0 
27 30 805564 171044 0 
29 47 177582 166238 0 
20 35 653752 129850 0 
21 56 159409 7806 0 
30 64 47865 35483 0 
29 63 728009 1632935 0 
38 69 341637 256977 0 
37 51 709684 298245 0 
30 51 2246852 398818 0 
30 53 1485670 307524 0 
29 48 2637894 563151 0 
44 47 795318 34555 0 
47 35 26636 5804 0 
47 30 1017182 400997 0 
41 26 591394 292555 0 
37 35 127360 16481 0 
34 38 1213155 764234 0 
40 30 2960353 86319 0 
47 48 706235 61639 0 
44 43 77040 5952 0 
41 34 2510523 316918 0 
44 48 941083 192090 0 
41 41 1802273 1334535 0 
38 43 924490 251207 0 
57 48 1157498 51598 0 
56 47 1202819 141600 0 
63 41 1424563 289847 0 
63 40 152113 22821 0 
56 27 2035160 1298880 0 
48 30 1098903 110245 0 
48 30 908784 86189 0 
0 0 44835 7668 0 
0 0 598483 183148 0 
43 37 119255 24066 0 
48 54 1069629 87541 0 
67 51 9887 3769 0 
74 34 651045 94117 0 
91 23 6160 21848 0 
94 3 207795 105778 0 
47 97 1013573 29158 0 
43 70 113698 23792 0 
35 41 226658 62003 0 
34 16 552570 237990 0 
44 44 786536 95136 0 
41 53 115448 6690 0 
43 75 139554 19099 0 
47 80 822905 93888 0 
37 78 99408 50335 0 
44 74 422518 17769 0 
61 91 19675 5293 0 
63 100 55065 24995 0 
51 90 324798 81140 0 
43 78 1666297 237095 0 
38 69 718729 190945 0 
35 64 181554 52859 0 
35 50 1816839 123930 0 
35 30 652477 25237 0 
48 30 77192 30579 0 
53 54 252460 127190 0 
48 54 467054 115705 0 
41 69 741649 318616 0 
35 70 869979 58109 0 
34 80 1540438 1031748 0 
37 63 1255656 83715 0 
37 53 1798738 135774 0 
53 54 24446 8445 0 
57 67 809828 317239 0 
51 54 305142 57602 0 
54 47 257686 33624 0 
57 35 318417 27238 0 
64 26 111709 88957 0 
63 38 161885 142934 0 
56 41 462144 26811 0 
47 34 339202 90904 0 
61 27 5870 11698 0 
66 26 629763 225712 0 
87 24 50500 16230 0 
78 51 136197 29069 0 
57 54 377968 24626 0 
66 66 20402 23492 0 
70 67 19501 3946 0 
91 54 110469 16742 0 
97 61 2376542 136745 0 
83 61 304542 53401 0 
63 57 301167 137448 0 
41 47 180794 105300 0 
35 47 168681 25338 0 
37 53 674109 43970 0 
37 63 218001 28146 0 
43 88 311347 18031 0 
57 83 9367 7289 0 
57 69 131934 49864 0 
60 61 667106 58649 0 
53 57 564314 153030 0 
50 91 2517366 1265571 0 
44 100 1883517 123017 0 
43 96 2402520 601802 0 
38 78 1778285 183245 0 
38 80 596976 39110 0 
47 43 1399381 313000 0 
50 51 327525 19171 0 
54 57 3390504 268166 0 
38 53 637149 629505 0 
29 41 540748 150684 0 
21 27 2204093 464703 0 
23 29 1507594 231355 0 
60 64 1793658 69948 0 
54 60 679755 1144190 0 
50 41 45851 153818 0 
34 26 1994626 503945 0 
29 23 967047 185605 0 
43 26 1414913 163584 0 
51 29 59658 20352 0 
60 38 449260 92890 0 
56 38 736783 224356 0 
41 29 994941 800094 0 
26 44 154030 298456 0 
38 48 1029672 35754 0 
35 40 1524514 336959 0 
53 51 942493 215029 0 
57 54 614006 62601 0 
41 54 709497 157982 0 
41 51 1112505 467790 0 
29 54 757064 45203 0 
38 47 191038 27362 0 
48 40 437706 36565 0 
54 43 105860 22907 0 
35 26 183226 345202 0 
35 21 229463 54509 0 
29 37 260903 74382 0 
23 40 1055940 154862 0 
53 56 306664 54614 0 
51 57 1172473 220584 0 
51 56 126140 28044 0 
51 47 213236 137627 0 
40 30 882473 951336 0 
43 35 1343406 69285 0 
47 47 695379 117715 0 
44 47 484745 491657 0 
48 80 256653 33376 0 
43 74 292006 234445 0 
44 69 280875 60647 0 
53 80 1046479 54339 0 
