attention meditation delta theta velocity
47 54 1521902 196816 0 
54 51 663528 383270 0 
54 43 51286 43064 0 
35 47 303392 194521 0 
27 53 562145 158384 0 
30 57 42627 54799 0 
13 67 1758997 114891 0 
27 50 468196 70169 0 
26 41 832861 52878 0 
20 29 76500 58208 0 
23 16 1111814 50145 0 
10 35 693014 131100 0 
7 41 1556601 87296 0 
11 54 862068 136792 0 
16 53 107691 35082 0 
21 53 702326 69193 0 
17 50 1637537 403817 0 
14 43 200210 148619 0 
21 50 557216 69299 0 
29 63 668673 19707 0 
30 66 550917 16157 0 
44 75 132322 13085 0 
38 75 40198 57564 0 
50 91 137567 215635 0 
35 91 1005874 34685 0 
37 84 838721 244233 0 
30 67 276205 68540 0 
48 63 1437850 28413 0 
51 64 1908590 33319 0 
44 61 89395 20985 0 
38 69 225405 119307 0 
21 63 850981 238125 0 
3 34 1015082 625335 0 
1 26 1422563 432880 0 
8 20 723992 161282 0 
14 35 1220980 61807 0 
44 60 2245704 183482 0 
43 60 791759 488760 0 
54 61 482127 106779 0 
51 38 1258463 346673 0 
27 27 488223 222392 0 
26 43 748153 96520 0 
16 50 279832 104353 0 
24 64 1012068 63606 0 
50 84 733290 22373 0 
63 84 1932289 184643 0 
51 63 678325 75216 0 
54 47 622123 68630 0 
50 44 83732 21619 0 
41 37 1194430 113691 0 
35 48 1098761 293095 0 
41 67 930164 80586 0 
56 84 263637 7183 0 
56 91 1578121 89193 0 
60 84 248052 45160 0 
66 80 1207547 68385 0 
47 67 365250 98934 0 
30 64 379327 78044 0 
38 61 568913 55020 0 
34 51 1082154 96170 0 
30 43 1842927 569632 0 
29 24 34170 266124 0 
8 21 1701057 1025725 0 
8 29 683449 74925 0 
8 24 1613824 857136 0 
24 43 1250387 168090 0 
38 44 366425 25103 0 
43 38 658739 38404 0 
67 51 614212 72694 0 
60 44 945850 212018 0 
57 56 166920 86331 0 
67 67 241429 27346 0 
38 54 72434 271586 0 
48 63 672585 17182 0 
35 44 681841 304624 0 
26 30 759639 79400 0 
41 47 919064 88546 0 
0 0 1578350 53466 0 
35 30 880545 67591 0 
23 29 890230 93925 0 
7 40 688465 97617 0 
8 43 457090 59604 0 
8 51 557124 221623 0 
11 40 273899 77423 0 
51 40 675546 26216 0 
66 40 1072062 206952 0 
81 21 224371 33170 0 
70 16 293488 63405 0 
43 1 676713 1023760 0 
38 1 2047647 747105 0 
29 1 654019 33674 0 
43 4 1076181 66128 0 
43 4 313555 72196 0 
63 1 2028162 911857 0 
40 10 606597 56914 0 
30 14 730996 26737 0 
48 35 955298 47793 0 
35 43 344446 251892 0 
30 34 634498 182939 0 
7 40 1237508 86632 0 
56 30 1431098 332591 0 
64 29 1331761 401269 0 
67 37 480900 26333 0 
80 41 1093306 180344 0 
69 51 909959 154367 0 
66 61 291641 183150 0 
63 57 815399 107086 0 
57 44 859315 757654 0 
67 37 1032136 119075 0 
60 24 524393 185904 0 
60 41 82085 24192 0 
80 56 599412 54243 0 
83 50 799864 71872 0 
84 61 691024 867777 0 
74 35 110533 85303 0 
53 16 362551 21570 0 
50 41 947691 36460 0 
60 34 181185 16525 0 
69 54 1831243 384004 0 
77 44 1059092 376589 0 
78 38 1819573 164552 0 
74 35 1514069 134624 0 
67 30 1185877 341549 0 
69 38 509999 555871 0 
70 40 710401 103356 0 
67 47 683715 325706 0 
69 64 1175025 483832 0 
66 74 3290612 766028 0 
