attention meditation delta theta velocity
34 87 315694 11660 10 
48 90 40081 19706 9,995003 
40 83 1645079 111805 9,995003 
60 84 69177 5957 9,995003 
51 78 484641 148195 9,995003 
35 74 2245115 336657 9,995003 
48 81 108991 28312 9,995003 
37 91 850311 173930 9,995003 
43 75 261253 44019 9,995003 
34 66 196028 24716 9,995003 
24 53 1028283 237204 9,995003 
29 74 987720 37108 9,995003 
29 75 100402 17838 9,995003 
37 69 321592 70241 9,995003 
41 88 416307 102377 9,995003 
21 87 1684393 252394 9,995003 
16 100 1437392 177836 9,995003 
10 100 1399971 497577 9,995003 
24 100 617727 49798 9,995003 
11 91 38852 98400 9,995003 
16 74 216112 61828 9,995003 
24 64 676942 197935 9,995003 
14 66 2858269 606208 9,995003 
34 74 1288625 101296 9,995003 
29 83 1003829 136277 9,995003 
24 87 471957 225999 9,995003 
29 100 293994 66801 9,995003 
13 87 264690 42558 9,995003 
29 87 11130 6210 9,995003 
41 78 5340 8259 9,995003 
60 93 13405 7527 9,995003 
47 84 64715 14029 9,995003 
51 81 265616 155711 9,995003 
43 74 578647 54213 9,995003 
34 75 215701 50096 9,995003 
21 64 277929 99835 9,995003 
34 69 1146537 33937 9,995003 
21 77 251046 336868 9,995003 
23 63 172025 54341 9,995003 
37 75 1546883 235141 9,995003 
20 69 988727 201755 9,995003 
47 64 234967 18723 9,995003 
57 66 78386 10487 9,995003 
44 63 405612 59036 9,995003 
61 69 53823 27851 9,995003 
41 70 555193 78394 10,05717 
48 67 674963 180705 9,995003 
43 67 130126 36526 9,995003 
41 70 200270 74249 9,995003 
21 87 388631 65104 9,995003 
23 90 124548 125241 9,995003 
10 83 655057 261477 9,995003 
21 81 387500 42186 9,995003 
35 69 343159 158632 9,995003 
29 69 411259 48775 9,995003 
50 87 47497 6788 9,995003 
53 88 20459 13844 9,995003 
48 96 177451 35337 9,995003 
56 100 21202 34399 9,995003 
54 100 91847 31765 9,995003 
50 100 19784 26660 9,995003 
60 100 30642 38987 9,995003 
50 100 158517 16997 9,995003 
41 97 1185766 53615 9,995003 
30 100 603623 177271 9,995003 
38 93 1238014 52110 9,995003 
48 80 59904 52775 9,995003 
54 60 1687136 165277 9,995003 
63 57 550661 52580 9,995003 
48 53 524378 57924 10,05214 
23 29 733307 59292 10 
7 47 93433 16586 9,995003 
20 75 1369767 247417 9,995003 
14 74 1511819 136511 9,995003 
27 64 46763 23489 9,995003 
40 67 764067 23349 9,995003 
54 57 10512 14474 9,995003 
53 53 106805 17082 9,995003 
63 64 13071 13237 9,995003 
57 77 1030029 11660 10,07227 
51 77 207533 220624 9,995003 
47 70 972589 681801 9,995003 
34 74 192732 20165 9,995003 
21 69 83091 35703 9,995003 
26 69 437000 58645 9,995003 
29 74 406160 71129 9,995003 
29 70 153957 31570 9,995003 
29 64 354173 91981 9,995003 
50 61 183883 7823 9,995003 
66 70 9181 7239 9,995003 
78 70 23044 19309 10,07227 
83 78 44991 36517 10,14506 
84 84 7352 15145 10,49056 
84 64 29056 20180 10,86954 
75 66 605164 67127 11,14462 
94 47 10955 12722 11,20721 
80 40 213627 69233 11,56573 
80 44 13519 7561 11,20721 
96 26 31162 7583 10,88697 
70 38 65479 39956 11,17365 
88 48 6684 4530 11,23865 
87 67 9798 5081 11,60398 
69 83 20897 53587 11,95129 
74 81 17414 5100 12,07745 
50 66 95937 38805 12,15501 
66 69 38527 7356 11,78999 
75 77 11448 7919 11,85977 
78 80 23270 4941 11,92399 
91 88 10094 36380 11,99096 
78 78 123616 80125 12,33134 
64 66 1069173 209701 12,40184 
63 61 2540 10911 12,45902 
67 66 51994 22150 12,51898 
88 74 1002 1888 12,583 
100 75 20998 9131 12,93372 
100 80 278339 47014 13,24116 
93 77 142070 21454 13,52883 
88 75 47780 8075 13,83658 
91 74 16904 5383 14,17256 
91 83 32556 16587 14,5167 
87 80 215875 42250 14,94371 
83 80 34505 7576 15,38328 
64 90 112711 25068 15,81996 
61 63 108533 11505 15,91199 
63 66 380567 158222 15,99816 
69 61 12289 4732 16,0864 
84 51 4626 5490 16,16866 
75 70 122057 19600 16,553 
87 69 3267119 57361 16,64264 
61 67 283635 22346 17,07234 
57 70 31491 9048 17,14763 
56 70 37883 49082 16,69098 
38 70 87278 41510 16,19785 
27 91 750742 22456 15,32364 
37 90 2134522 36218 14,88578 
41 78 287206 474916 14,51111 
43 78 521161 65530 14,18836 
37 70 95091 73845 13,83124 
43 69 10994 7057 13,46291 
48 80 193328 62807 12,54048 
63 81 463319 63222 12,27382 
48 77 273534 82754 12,30209 
47 44 278127 189110 11,98645 
35 47 23991 25838 10 
40 43 55742 8269 9,995003 
38 53 703074 379045 9,995003 
29 63 130251 33909 9,995003 
40 43 218578 44673 9,995003 
37 41 266387 55866 9,995003 
44 43 91249 72917 9,995003 
38 53 1015077 35538 10 
20 63 355518 131928 9,995003 
29 80 705173 32911 9,995003 
34 80 750373 27960 9,995003 
41 81 803457 133598 9,995003 
23 66 1499358 950476 9,995003 
20 67 172439 13528 9,995003 
26 78 126809 32992 9,995003 
63 17 457782 180714 10 
