attention meditation delta theta velocity
67 94 118786 69076 0 
93 77 81457 14831 0 
80 64 301199 107404 9,995003 
80 84 85828 12509 9,995003 
77 100 10740 4965 9,995003 
88 93 228298 21275 10,11669 
61 69 375073 33029 11,01391 
47 77 109009 32060 11,07355 
37 77 1494285 361920 10,44453 
37 54 148538 151582 10,16131 
66 41 365589 34442 9,995003 
67 66 41818 25833 10,05616 
94 70 15121 10358 10,11163 
100 91 40731 9516 10,38308 
83 100 173676 26570 10,71525 
84 80 497331 46291 11,01391 
75 64 728174 45648 11,32655 
53 63 213496 90738 11,47936 
78 48 85124 26711 10,64484 
90 54 13367 5932 10,79817 
84 47 102707 9602 11,58087 
83 57 10284 18002 13,25415 
84 60 28666 9413 13,96835 
70 78 295335 94904 14,72839 
93 81 22584 11081 14,88089 
97 78 6018 3780 15,69059 
94 78 10635 14192 16,52781 
100 78 209391 72920 17,46199 
100 69 19515 5786 18,40292 
100 54 15091 18414 19,39456 
100 44 24042 19250 20,53178 
100 48 4782 6477 21,70312 
100 40 84203 50854 23,01019 
97 40 71821 59188 24,35944 
100 50 27021 10025 25,76201 
97 51 15997 5823 26,97434 
100 80 9547 5738 28,38524 
100 97 11349 3311 29,84011 
100 100 24587 3669 31,35386 
100 100 151196 21370 32,99385 
100 83 66297 20769 34,66758 
100 54 612330 77452 36,44444 
80 38 314497 35819 38,29322 
60 37 235975 21139 36,35347 
47 47 230651 6662 34,40863 
30 66 272232 36333 32,5353 
34 90 1307683 43286 30,91811 
43 87 1894797 130805 29,45482 
37 74 205215 290519 28,06079 
48 64 909226 102925 26,73274 
53 57 218656 67014 25,40397 
48 56 321224 98959 24,15332 
57 70 252801 88036 21,81188 
57 38 348468 118346 20,7277 
63 29 444247 206772 19,66791 
64 17 211958 143990 19,87354 
61 35 256194 68950 20,09338 
57 66 293017 70263 20,30753 
50 84 194014 148383 19,28848 
50 96 155707 10335 18,36642 
44 84 498052 209746 17,47096 
41 81 488751 75516 16,51978 
38 75 81233 19241 15,72221 
23 69 799779 68334 15,0156 
63 51 178539 38481 13,55997 
70 54 341625 87725 13,69764 
81 48 1119815 184189 13,83117 
78 64 934838 6663 14,54008 
74 66 227101 37788 14,68623 
77 77 104915 32166 14,83681 
88 70 354667 34583 14,97845 
