reward;lowBeta;highBeta;attention;currentProgress;timestamp(s)
3;12901;28885;30;0;42,3429
3;24243;32913;24;0;43,3381
3;45812;13002;40;0;44,33469
3;5849;6383;43;0;45,33257
3;13051;7650;38;0;46,32808
3;6888;6735;48;0;47,32565
3;6574;14777;47;0;48,3192
3;11097;2653;35;0;49,31157
3;73736;11370;21;0;50,30764
3;47292;27577;7;0;52,23944
3;76146;20524;20;0;53,24224
3;106188;24846;35;0;54,23874
3;17429;19985;38;0;55,23502
3;16301;17638;43;0;56,22243
3;20874;11161;34;0;57,22115
3;45903;24992;24;0;58,22191
3;40098;16803;20;0;59,21256
3;3359;3705;20;0;60,20633
3;14898;8306;20;0;61,20252
3;74093;31480;20;0;62,19511
3;10171;3226;14;0;63,18633
3;30189;10549;7;0;64,18735
3;15342;9287;4;0;65,18391
3;5944;8071;7;0;66,17957
3;10222;2033;17;0;67,17451
3;6118;11515;35;0;68,17066
3;4818;1425;29;0;70,16262
3;5506;17762;34;0;71,15991
3;14003;17018;40;0;72,15459
3;7474;3212;47;0;73,14902
3;25492;6597;43;0;74,14439
3;14232;5794;34;0;75,14138
3;2319;5263;16;0;76,13817
3;9132;8084;14;0;77,13316
3;7082;2825;17;0;78,13202
3;6654;2458;34;0;79,12894
3;44765;11928;27;0;80,06071
3;5721;3481;24;0;81,12186
3;12234;7164;17;0;83,05106
3;30791;4607;17;0;84,04628
3;1111;290;20;0;85,04031
3;8208;8380;24;0;86,0411
3;1355;2729;24;0;87,03833
3;8098;8843;24;0;88,03156
3;898;4068;41;0;89,02698
3;384;1937;40;0;90,0267
3;2980;11868;40;0;91,02154
3;9490;8772;50;0;92,02075
3;22752;17965;34;0;93,0159
3;36157;17477;37;0;94,01257
3;16806;10556;41;0;95,01047
3;10145;11991;44;0;96,00579
3;11074;13848;63;10;97,00475
3;2712;12825;63;10;97,99702
3;5829;4618;63;10;98,99659
3;13962;5712;37;8;101,9339
3;4729;6531;40;6;102,9322
3;1891;1393;34;4;103,929
3;6993;9040;43;2;104,924
3;2213;3233;50;0;105,9207
3;16542;13673;47;0;106,9153
3;12681;7716;44;0;107,9121
3;731;639;34;0;108,91
3;28786;16792;35;0;109,909
3;4192;1887;30;0;110,9063
3;6891;3158;37;0;111,9026
3;9125;6496;37;0;112,8959
3;9624;6182;14;0;114,8899
3;519;509;14;0;115,891
3;18529;29508;10;0;116,8867
3;765;1810;23;0;117,8825
3;6277;4306;37;0;118,8171
3;4041;3650;37;0;119,8792
3;18822;7872;43;0;120,8768
3;4472;2165;30;0;121,8779
4;5793;5834;35;0;0,02
4;8911;3491;38;0;0,4621422
4;44121;30103;41;0;1,457532
4;10128;22139;57;0;2,448737
4;15719;23091;51;0;3,446682
4;13580;12306;61;10;4,436843
4;3200;4684;63;20;5,428441
4;12381;5225;66;30;6,425429
4;17070;24076;64;40;7,419891
4;34637;14521;60;38;8,420078
4;2755;2410;47;36;10,35996
4;11014;6600;48;34;11,35427
4;14688;12776;48;34;12,3525
4;9255;5471;53;32;13,34868
4;3637;4656;61;42;14,34605
4;4488;5710;61;42;15,34069
4;4054;4215;61;42;16,34108
4;7466;5809;61;42;17,33943
4;2119;2549;53;40;18,33247
4;5223;6524;48;38;19,32971
4;4555;7369;38;36;20,32627
4;4516;2584;27;34;21,32302
4;7851;8472;43;32;23,31266
4;6990;8002;48;30;24,30818
4;15995;19012;44;28;25,29951
4;7966;12170;26;26;26,30208
4;842;1082;23;24;27,29552
4;15866;7208;20;22;28,22644
4;12121;8911;24;20;29,28984
4;3216;4197;34;18;30,28361
4;31306;5133;29;16;31,27881
4;5415;12082;37;14;32,27549
4;7175;5989;43;12;33,27481
4;1588;6153;60;10;34,27227
4;5050;4909;78;20;35,26781
4;14474;9499;64;30;37,20325
4;12818;12074;48;28;38,19661
4;13044;14778;35;26;39,19521
4;857;581;13;24;40,19243
4;1199;2186;27;22;41,19024
4;14634;4712;21;20;42,18979
4;3911;4985;37;18;43,19896
4;10602;14304;54;16;44,2113
4;10260;18587;60;14;45,15821
4;773;655;61;24;46,16656
4;5413;5514;43;22;47,17603
4;9366;10262;51;20;48,17742
4;13709;7545;53;18;49,17333
4;35703;12028;56;16;50,16914
4;1914;6104;61;26;51,16161
4;6080;7513;53;24;52,15148
4;10445;10230;53;24;53,14979
4;2331;5258;66;34;54,07897
4;9049;11672;69;44;55,1051
4;7044;6028;64;54;56,09481
4;9178;16939;63;64;57,08961
4;9780;9452;57;62;58,08498
4;3327;10177;60;60;59,08146
4;10255;7040;63;70;60,07093
4;5645;6937;57;68;61,06711
4;54996;29475;51;66;62,06371
4;33948;40694;43;64;63,06058
4;25058;17154;38;62;64,05964
4;48738;26742;40;60;65,05163
4;2706;3263;43;58;66,06016
4;3179;8982;56;56;67,05639
4;38757;36646;56;56;68,05486
4;18134;9774;53;54;69,05061
4;14528;30887;56;52;69,98817
4;19356;3218;44;50;71,04335
4;24162;5905;24;48;72,97795
4;10585;11147;50;46;74,97327
4;22279;25966;70;56;75,96375
4;5794;15267;77;66;76,95828
4;3250;2581;54;64;77,95739
4;11324;15328;37;62;78,95622
4;2447;3376;14;60;79,95128
