numRun;runTime(s);distance(m);coins;attentionMean
1;63,781;922;0;68
2;61,858;939;0;65
3;63,276;1129;0;66
4;64,989;953;0;60
5;64,740;344;0;56
6;169,985;2402;307;55
7;184,205;2517;243;55
8;27,417;171;41;55
9;163,358;2550;237;53
10;19,810;233;21;53
2;20,322;189;34;53
3;18,744;125;7;53
4;19,576;210;33;53
