attention meditation delta theta velocity
40 70 35525 40846 0 
50 63 563227 87927 0 
38 50 53758 18176 0 
50 43 11123 16339 0 
34 43 160299 195457 0 
37 38 279435 111190 0 
63 61 15124 5137 0 
63 74 13013 10457 0 
78 80 158131 2133 0 
64 75 223909 78635 0 
41 60 147000 98697 0 
41 57 108183 8504 0 
17 51 391853 25911 0 
35 56 5276 22219 0 
41 51 302528 42925 0 
38 48 30732 26220 0 
41 53 103884 30785 0 
38 67 22544 13166 0 
29 77 243324 82790 0 
41 69 1039 9278 0 
37 64 208996 40537 0 
54 51 5197 2520 0 
69 57 44150 22878 0 
53 60 114528 28302 0 
77 69 18484 5875 0 
66 69 17097 11708 0 
70 66 104906 42833 0 
88 64 3724 10331 0 
75 57 226185 33740 0 
66 67 27571 20283 0 
60 69 59812 69168 0 
35 66 307798 90933 0 
44 75 90256 20321 0 
53 53 7702 13570 0 
53 53 7702 13570 0 
61 54 47515 86918 9,995003 
48 56 128420 8008 10,13492 
50 69 10068 7923 9,995003 
54 81 4476 22093 9,995003 
50 70 357432 34484 9,995003 
51 83 6916 6749 9,995003 
27 67 224005 169774 9,995003 
16 56 346509 139037 9,995003 
27 56 425937 53612 9,995003 
60 27 4369 8540 9,995003 
63 50 3743 14047 9,995003 
67 37 11679 20978 10,0995 
63 40 177302 59938 10,1949 
77 30 5096 11875 10,39671 
66 27 304863 219324 10,50016 
70 37 44710 23055 10,60676 
64 44 6757 17012 10,81998 
75 64 6460 1713 10,92109 
64 53 201844 39563 11,03417 
64 41 35317 22808 11,14842 
57 50 359855 7258 11,26386 
51 48 6428 12007 10,67726 
61 43 235267 83712 10,1364 
44 56 367249 34344 10,24443 
53 51 10232 15581 9,995003 
40 44 186549 174945 9,995003 
51 50 168603 7994 9,995003 
69 47 6519 12972 9,995003 
48 38 317336 317368 10,10658 
57 21 1272345 260628 9,995003 
34 21 163724 67687 9,995003 
40 3 6772 7729 9,995003 
44 16 232623 27814 9,995003 
60 26 74689 14806 9,995003 
87 23 4426 9471 0 
87 27 4476 4776 10,09542 
100 26 3600 6882 10,57578 
97 35 19476 20109 11,10118 
75 50 129082 60218 11,61777 
50 51 231967 55479 11,72868 
48 40 10466 14871 11,21276 
41 30 162583 114399 10,65542 
60 29 433211 16023 10,17144 
69 50 45199 10646 9,995003 
64 61 10523 25722 10,09445 
75 60 248643 7645 10,1949 
64 60 25467 27376 10,28605 
64 53 465955 44239 0 
43 44 310671 65061 10,02203 
41 51 21090 21615 9,995003 
50 43 13985 7128 9,995003 
64 34 25380 6089 9,995003 
90 26 203433 24423 10,10051 
90 20 41315 33767 10,60229 
90 21 1736 11752 11,68772 
74 17 6978 9325 12,88426 
63 24 87223 42988 13,01898 
40 24 332177 38705 13,1551 
29 44 240872 52125 0 
30 35 26080 41185 0 
50 41 20768 13488 0 
93 48 10172 11007 0 
81 37 178135 28761 0 
78 35 420680 20096 0 
77 27 37812 17784 0 
77 27 37812 17784 0 
69 26 27953 33789 0 
69 26 27953 33789 0 
64 27 606390 165936 0 
56 34 59587 36029 0 
48 35 185410 28792 0 
43 47 511 6976 0 
56 66 21841 8389 0 
63 67 15592 29080 0 
74 69 38245 33537 0 
64 47 30993 16018 0 
47 30 804078 499396 0 
43 40 15362 10902 0 
40 43 143903 59287 0 
37 47 21353 25665 0 
43 37 250712 147619 0 
38 26 45262 27539 0 
50 24 403910 40025 0 
54 20 42202 26448 0 
56 43 669622 107494 0 
53 53 51557 30493 0 
48 43 68200 108284 0 
43 50 14187 8272 0 
56 51 11036 5577 0 
75 30 8888 27669 0 
90 38 9873 14181 0 
97 30 317315 14151 0 
100 29 3836 5694 0 
96 37 18586 17563 0 
88 50 245407 13320 0 
74 50 493030 35982 0 
74 50 493030 35982 0 
70 56 55809 6198 0 
70 48 170393 104663 0 
53 50 20370 23317 0 
61 47 3855 7285 0 
61 44 327232 67039 0 
75 43 64707 17413 0 
77 34 357915 9868 0 
77 37 13994 4431 0 
87 37 4778 8613 0 
88 37 16256 9776 0 
88 47 1105 25922 0 
60 47 240824 182656 0 
41 53 52864 30380 0 
37 54 355493 29006 0 
38 48 40694 45927 0 
44 38 104625 48500 0 
48 37 449682 59942 0 
37 40 181352 18792 0 
40 44 226705 30003 0 
35 50 99392 38357 0 
21 41 654384 122699 0 
35 27 287394 7296 0 
24 35 257076 33652 0 
44 35 6500 12247 0 
67 43 3650 21143 0 
61 41 33577 47199 0 
70 35 7961 26280 0 
60 24 180400 40644 0 
60 17 23046 32301 0 
74 27 13841 10130 0 
57 16 194919 27136 0 
50 26 589608 75032 0 
41 29 233888 83802 0 
20 17 104749 183516 0 
